source_file,page,resposta_social,equipamento,tipo_acordo,n_medio_utentes,n_medio_funcionarios,n_meses,is_ocr,vendas,servicos_prestados,servicos_prestados_particulares,subsidios_publicos,iss_ip,iss_ip_2,outros_rendimentos,custo_mercadorias,fse,gastos_pessoal,outros_gastos,ebitda,depreciacao,resultado_liquido,ss_funding_authoritative,_comparticipacoes_matched_key,concelho,centro_distrital,ano,activity_group,institution_id
OCIP 9_24.pdf,4,2103 - CENTRO DE DIA,1 - SEDE,Típico Tipo de Atividade:,44.0,7.0,12.0,False,0.0,127615.31,35750.6,22137.57,0.0,0.0,3044.64,-43442.75,-51121.43,-134330.52,-395.0,-76492.18,-16543.34,-94604.47,,,SALVATERRA DE MAGOS,,2024,Idosos,INST_aaaf5294
OCIP_10_24.pdf,2,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,1 - SEDE,Típico Tipo de Atividade:,10.0,6.0,12.0,False,0.0,41696.68,41696.68,49151.16,46849.78,0.0,1835.46,-17574.8,-14440.38,-79663.61,-96.44,-19091.93,-11210.26,-31010.37,,,TORRES NOVAS,,2024,Idosos,INST_0ddfde1e
OCIP_10_24.pdf,3,2103 - CENTRO DE DIA,1 - SEDE,Típico Tipo de Atividade:,15.0,6.0,12.0,False,0.0,0.0,0.0,6121.84,6121.84,0.0,1077.98,0.0,0.0,-12521.47,0.0,-5321.65,-4588.99,-9910.64,,,TORRES NOVAS,,2024,Idosos,INST_0ddfde1e
OCIP_10_24.pdf,4,2107 - ESTRUTURA RESIDENCIAL PARA PESSOAS IDOSAS,1 - SEDE,Típico Tipo de Atividade:,28.0,20.0,12.0,False,0.0,360124.8,360124.8,223665.82,201528.9,0.0,29312.02,-65311.4,-101242.17,-432981.81,-1063.87,12503.39,-13830.71,-5678.33,,,TORRES NOVAS,,2024,Idosos,INST_0ddfde1e
OCIP_11_24.pdf,2,2107 - ESTRUTURA RESIDENCIAL PARA PESSOAS IDOSAS,1 - SEDE,Típico Tipo de Atividade:,35.0,29.0,12.0,False,0.0,590203.46,357015.33,119168.68,0.0,0.0,64198.73,-18370.91,-180664.81,-526728.16,-1481.87,46325.12,-98607.6,-74613.45,,,ALCOUTIM,,2024,Idosos,INST_e82da776
OCIP_12_24.pdf,2,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,1 - SEDE,Típico Tipo de Atividade:,13.0,5.0,12.0,False,0.0,104342.64,4553.91,11695.44,0.0,0.0,6070.85,-11647.71,-11426.62,-71647.78,-103.63,27283.19,-8182.03,18880.32,,,ALCOBAÇA,,2024,Idosos,INST_7b000b7b
OCIP_12_24.pdf,3,2103 - CENTRO DE DIA,1 - SEDE,Típico Tipo de Atividade:,21.0,6.0,12.0,False,0.0,134445.69,3318.59,26285.01,0.0,0.0,2299.47,-16866.39,-33323.41,-98475.74,-1244.15,13120.48,-5777.98,7342.5,,,ALCOBAÇA,,2024,Idosos,INST_7b000b7b
OCIP_13_24.pdf,2,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,1 - SEDE,Típico Tipo de Atividade:,31.0,8.0,12.0,False,0.0,223107.94,67506.36,3534.5,0.0,0.0,10529.62,-49868.05,-47166.56,-74112.84,-2031.78,63992.83,-15427.19,48565.64,,,ALIJÓ,,2024,Idosos,INST_2eccc5c5
OCIP_13_24.pdf,3,2103 - CENTRO DE DIA,1 - SEDE,Típico Tipo de Atividade:,6.0,1.0,12.0,False,0.0,22361.62,9864.28,1598.92,0.0,0.0,6614.48,-16797.53,-19312.59,-73456.84,-2456.1,-81448.04,-6979.01,-88427.05,,,ALIJÓ,,2024,Idosos,INST_2eccc5c5
OCIP_13_24.pdf,4,2107 - ESTRUTURA RESIDENCIAL PARA PESSOAS IDOSAS,1 - SEDE,Típico Tipo de Atividade:,14.0,8.0,12.0,False,0.0,178151.47,95216.35,3282.01,0.0,0.0,12092.93,-25196.35,-31886.46,-115199.57,-117.14,21126.89,-14325.22,6801.67,,,ALIJÓ,,2024,Idosos,INST_2eccc5c5
OCIP_14_24.pdf,2,1104 - ESTABELECIMENTO DE EDUCAÇÃO PRÉ-ESCOLAR,1 - SEDE,Sem Acordo Tipo de Atividade:,0.0,0.0,12.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,PÓVOA DE VARZIM,,2024,Infância,INST_29ae815e
OCIP_14_24.pdf,4,1103 - CRECHE,2000 - CRECHE E JARDIM DE INFÂNCIA NOVO MUNDO,Típico Tipo de Atividade:,41.0,11.0,12.0,False,0.0,116335.94,0.0,162663.66,155065.97,0.0,12702.46,-13971.12,-30776.18,-211029.88,-1038.69,34886.19,-20910.36,13975.83,,,PÓVOA DE VARZIM,,2024,Infância,INST_29ae815e
OCIP_14_24.pdf,5,1104 - ESTABELECIMENTO DE EDUCAÇÃO PRÉ-ESCOLAR,2000 - CRECHE E JARDIM DE INFÂNCIA NOVO MUNDO,Típico Tipo de Atividade:,50.0,8.0,12.0,False,0.0,95369.67,95369.67,119351.62,90260.2,0.0,14209.53,-15624.64,-34418.61,-158551.18,-1161.62,19174.77,-23391.26,-4216.49,,,PÓVOA DE VARZIM,,2024,Infância,INST_29ae815e
OCIP_15_24.pdf,2,1104 - ESTABELECIMENTO DE EDUCAÇÃO PRÉ-ESCOLAR,1 - SEDE,Típico Tipo de Atividade:,44.0,9.0,12.0,False,0.0,34152.37,0.0,118817.66,112038.51,0.0,2108.23,-1782.83,-47039.31,-140949.13,-900.64,-35273.83,-1405.34,-35214.16,,,LISBOA,,2024,Infância,INST_08266a86
OCIP_15_24.pdf,3,1103 - CRECHE,2000 - CENTRO SOCIAL PAROQUIAL SANTO ANTONIO CAMPOLIDE - CRECHE,Típico Tipo de Atividade:,48.0,10.0,12.0,False,0.0,712.26,0.0,286555.06,279775.9,0.0,2108.23,-1782.86,-54550.15,-186088.17,-749.74,46524.45,-1405.37,46584.11,,,LISBOA,,2024,Infância,INST_08266a86
OCIP_16_24.pdf,2,1103 - CRECHE,1 - SEDE,Típico Tipo de Atividade:,45.0,24.0,12.0,False,2634.0,311621.31,36346.88,12590.2,0.0,0.0,42881.39,-12680.16,-72703.75,-269779.48,-1213.31,13350.2,-15274.94,-1924.74,,,PORTO,,2024,Infância,INST_54c67dde
OCIP_16_24.pdf,3,1104 - ESTABELECIMENTO DE EDUCAÇÃO PRÉ-ESCOLAR,1 - SEDE,Típico Tipo de Atividade:,66.0,22.0,12.0,False,4412.0,260578.89,128113.32,50196.01,44204.76,0.0,20405.78,-8100.91,-60534.21,-237293.34,-577.37,29086.85,-7324.7,21762.15,,,PORTO,,2024,Infância,INST_54c67dde
OCIP_16_24.pdf,4,2103 - CENTRO DE DIA,1 - SEDE,Sem Acordo Tipo de Atividade:,0.0,0.0,12.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,PORTO,,2024,Idosos,INST_54c67dde
OCIP_16_24.pdf,5,2103 - CENTRO DE DIA,2000 - CASA BELA,Típico Tipo de Atividade:,45.0,17.0,12.0,False,0.0,105225.45,51390.93,2462.94,0.0,0.0,10501.11,-2292.51,-33878.01,-86704.02,-237.36,-4922.4,-5488.16,-10410.56,,,PORTO,,2024,Idosos,INST_54c67dde
OCIP_16_24.pdf,6,2301 - SERVIÇO DE APOIO DOMICILIÁRIO,2000 - CASA BELA,Típico Tipo de Atividade:,35.0,22.0,12.0,False,0.0,255522.9,100383.62,7097.65,0.0,0.0,26286.63,-6606.5,-73162.2,-204842.51,-684.0,3611.97,-10422.29,-6810.32,,,PORTO,,2024,Idosos,INST_54c67dde
OCIP_17_24.pdf,3,1103 - CRECHE,2000 - ASS PAIS TECNICOS INFANTARIO PEDRITA,Típico Tipo de Atividade:,25.0,7.0,12.0,False,0.0,79743.98,21599.15,86861.52,86861.52,0.0,507.0,-1924.6,-26284.0,-140664.47,-322.64,-2083.21,-4424.07,-3625.98,,,LISBOA,,2024,Infância,INST_82895946
OCIP_18_24.pdf,2,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,1 - SEDE,Típico Tipo de Atividade:,15.0,3.0,12.0,False,0.0,22759.03,22759.03,38174.0,38174.0,0.0,0.0,-6221.2,-5024.42,-47229.27,-544.31,1913.83,-979.16,934.67,,,FREIXO DE ESPADA À CINTA,,2024,Idosos,INST_30ee18e3
OCIP_18_24.pdf,3,2107 - ESTRUTURA RESIDENCIAL PARA PESSOAS IDOSAS,1 - SEDE,Típico Tipo de Atividade:,15.0,8.0,12.0,False,0.0,128967.86,128967.86,68880.0,68880.0,0.0,2666.9,-28586.79,-28471.69,-134299.17,-3084.4,6072.71,-5548.55,524.16,,,FREIXO DE ESPADA À CINTA,,2024,Idosos,INST_30ee18e3
OCIP_19_24.pdf,2,1104 - ESTABELECIMENTO DE EDUCAÇÃO PRÉ-ESCOLAR,1 - SEDE,Típico Tipo de Atividade:,45.0,9.0,12.0,False,0.0,99583.67,99583.67,127557.8,96142.27,17072.04,1541.02,-16839.45,-32544.1,-177400.8,-131.83,1766.31,-3077.02,6730.34,,,FARO,,2024,Infância,INST_84fb7003
OCIP_20_24.pdf,2,1103 - CRECHE,2000 - CRECHE S. FRANCISCO DE ASSIS,Típico Tipo de Atividade:,47.0,10.0,12.0,False,0.0,25701.5,25701.5,264708.64,263481.44,0.0,17861.35,-4601.11,-80717.57,-180300.48,-797.04,41855.29,-39004.47,3800.04,,,VILA REAL,,2024,Infância,INST_fbb27a0f
OCIP 7_24.pdf,2,1103 - CRECHE,1 - SEDE,Típico,74.0,16.0,12.0,True,,,,,,,,,,,,,,0.0,,,FARO,,2024,Infância,INST_7e92172c
OCIP 7_24.pdf,3,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,1 - SEDE,Típico,18.0,9.0,12.0,True,,,,,,,,,,,,,,0.0,,,FARO,,2024,Idosos,INST_7e92172c
OCIP 7_24.pdf,4,2107 - ESTRUTURA RESIDENCIAL PARA PESSOAS IDOSAS,1 - SEDE,Típico,46.0,36.0,12.0,True,,,,,,,,,,,,,,0.0,,,FARO,,2024,Idosos,INST_7e92172c
OCIP 7_24.pdf,6,1104 - ESTABELECIMENTO DE EDUCAÇÃO PRÉ-ESCOLAR,2000 - JARDIM DE INFÂNCIA A JOANINHA,Típico,24.0,5.0,12.0,True,,,,,,,,,,,,,,,,,FARO,,2024,Infância,INST_7e92172c
