source_file,page,resposta_social,tipo_acordo,n_medio_utentes,n_medio_funcionarios,n_meses,is_ocr,vendas,servicos_prestados,servicos_prestados_particulares,subsidios_publicos,iss_ip,iss_ip_2,outros_rendimentos,custo_mercadorias,fse,gastos_pessoal,outros_gastos,ebitda,depreciacao,resultado_liquido,ss_funding_authoritative,_comparticipacoes_matched_key,concelho,centro_distrital,ano,activity_group,ss_funding,revenue,total_cost,labour_cost,monthly_revenue,monthly_fee,monthly_social_security_funding,monthly_cost,monthly_ebitda,monthly_labour_cost,monthly_revenue_per_beneficiary,monthly_fee_per_beneficiary,monthly_social_security_funding_per_beneficiary,monthly_cost_per_beneficiary,monthly_ebitda_per_beneficiary,monthly_revenue_per_worker,monthly_cost_per_worker,monthly_labour_cost_per_worker,beneficiary_worker_ratio,ss_funding_cost_coverage_ratio,institution_id,equipment_id
OCIP_11_24.pdf,2,2107 - ESTRUTURA RESIDENCIAL PARA PESSOAS IDOSAS,Típico Tipo de Atividade:,35.0,29.0,12.0,False,0.0,590203.46,357015.33,119168.68,0.0,0.0,64198.73,-18370.91,-180664.81,-526728.16,-1481.87,46325.12,-98607.6,-74613.45,,,ALCOUTIM,,2024,Idosos,119168.68,773570.87,727245.75,526728.16,64464.24,49183.62,9930.72,60603.81,3860.43,43894.01,1841.84,850.04,0.0,1731.54,110.3,2222.9,2089.79,1513.59,1.21,5.74,INST_e82da776,EQUIP_80ee4a1a
OCIP_12_24.pdf,2,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,Típico Tipo de Atividade:,13.0,5.0,12.0,False,0.0,104342.64,4553.91,11695.44,0.0,0.0,6070.85,-11647.71,-11426.62,-71647.78,-103.63,27283.19,-8182.03,18880.32,,,ALCOBAÇA,,2024,Idosos,11695.44,122108.93,94825.74,71647.78,10175.74,8695.22,974.62,7902.14,2273.6,5970.65,782.75,29.19,0.0,607.86,174.89,2035.15,1580.43,1194.13,2.6,1.6,INST_7b000b7b,EQUIP_7e967cef
OCIP_12_24.pdf,3,2103 - CENTRO DE DIA,Típico Tipo de Atividade:,21.0,6.0,12.0,False,0.0,134445.69,3318.59,26285.01,0.0,0.0,2299.47,-16866.39,-33323.41,-98475.74,-1244.15,13120.48,-5777.98,7342.5,,,ALCOBAÇA,,2024,Idosos,26285.01,163030.17,149909.69,98475.74,13585.85,11203.81,2190.42,12492.47,1093.37,8206.31,646.95,13.17,0.0,594.88,52.07,2264.31,2082.08,1367.72,3.5,3.68,INST_7b000b7b,EQUIP_7e967cef
OCIP_13_24.pdf,2,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,Típico Tipo de Atividade:,31.0,8.0,12.0,False,0.0,223107.94,67506.36,3534.5,0.0,0.0,10529.62,-49868.05,-47166.56,-74112.84,-2031.78,63992.83,-15427.19,48565.64,,,ALIJÓ,,2024,Idosos,3534.5,237172.06,173179.23,74112.84,19764.34,18592.33,294.54,14431.6,5332.74,6176.07,637.56,181.47,0.0,465.54,172.02,2470.54,1803.95,772.01,3.88,0.63,INST_2eccc5c5,EQUIP_cc004fe9
OCIP_13_24.pdf,3,2103 - CENTRO DE DIA,Típico Tipo de Atividade:,6.0,1.0,12.0,False,0.0,22361.62,9864.28,1598.92,0.0,0.0,6614.48,-16797.53,-19312.59,-73456.84,-2456.1,-81448.04,-6979.01,-88427.05,,,ALIJÓ,,2024,Idosos,1598.92,30575.02,112023.06,73456.84,2547.92,1863.47,133.24,9335.25,-6787.34,6121.4,424.65,137.0,0.0,1555.88,-1131.22,2547.92,9335.25,6121.4,6.0,0.09,INST_2eccc5c5,EQUIP_cc004fe9
OCIP_13_24.pdf,4,2107 - ESTRUTURA RESIDENCIAL PARA PESSOAS IDOSAS,Típico Tipo de Atividade:,14.0,8.0,12.0,False,0.0,178151.47,95216.35,3282.01,0.0,0.0,12092.93,-25196.35,-31886.46,-115199.57,-117.14,21126.89,-14325.22,6801.67,,,ALIJÓ,,2024,Idosos,3282.01,193526.41,172399.52,115199.57,16127.2,14845.96,273.5,14366.63,1760.57,9599.96,1151.94,566.76,0.0,1026.19,125.76,2015.9,1795.83,1200.0,1.75,0.27,INST_2eccc5c5,EQUIP_cc004fe9
OCIP_14_24.pdf,2,1104 - ESTABELECIMENTO DE EDUCAÇÃO PRÉ-ESCOLAR,Sem Acordo Tipo de Atividade:,0.0,0.0,12.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,PÓVOA DE VARZIM,,2024,Infância,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,,,,,,,,,,,INST_29ae815e,EQUIP_a8cf0ac7
OCIP_14_24.pdf,4,1103 - CRECHE,Típico Tipo de Atividade:,41.0,11.0,12.0,False,0.0,116335.94,0.0,162663.66,155065.97,0.0,12702.46,-13971.12,-30776.18,-211029.88,-1038.69,34886.19,-20910.36,13975.83,,,PÓVOA DE VARZIM,,2024,Infância,162663.66,291702.06,256815.87,211029.88,24308.5,9694.66,13555.3,21401.32,2907.18,17585.82,592.89,0.0,315.17,521.98,70.91,2209.86,1945.57,1598.71,3.73,25.97,INST_29ae815e,EQUIP_62a9c9f9
OCIP_14_24.pdf,5,1104 - ESTABELECIMENTO DE EDUCAÇÃO PRÉ-ESCOLAR,Típico Tipo de Atividade:,50.0,8.0,12.0,False,0.0,95369.67,95369.67,119351.62,90260.2,0.0,14209.53,-15624.64,-34418.61,-158551.18,-1161.62,19174.77,-23391.26,-4216.49,,,PÓVOA DE VARZIM,,2024,Infância,119351.62,228930.82,209756.05,158551.18,19077.57,7947.47,9945.97,17479.67,1597.9,13212.6,381.55,158.95,150.43,349.59,31.96,2384.7,2184.96,1651.57,6.25,28.45,INST_29ae815e,EQUIP_62a9c9f9
OCIP_15_24.pdf,2,1104 - ESTABELECIMENTO DE EDUCAÇÃO PRÉ-ESCOLAR,Típico Tipo de Atividade:,44.0,9.0,12.0,False,0.0,34152.37,0.0,118817.66,112038.51,0.0,2108.23,-1782.83,-47039.31,-140949.13,-900.64,-35273.83,-1405.34,-35214.16,,,LISBOA,,2024,Infância,118817.66,155078.26,190671.91,140949.13,12923.19,2846.03,9901.47,15889.33,-2939.49,11745.76,293.71,0.0,212.19,361.12,-67.41,1435.91,1765.48,1305.08,4.89,27.42,INST_08266a86,EQUIP_9da29c79
OCIP_15_24.pdf,3,1103 - CRECHE,Típico Tipo de Atividade:,48.0,10.0,12.0,False,0.0,712.26,0.0,286555.06,279775.9,0.0,2108.23,-1782.86,-54550.15,-186088.17,-749.74,46524.45,-1405.37,46584.11,,,LISBOA,,2024,Infância,286555.06,289375.55,243170.92,186088.17,24114.63,59.36,23879.59,20264.24,3877.04,15507.35,502.39,0.0,485.72,422.17,80.22,2411.46,2026.42,1550.73,4.8,56.56,INST_08266a86,EQUIP_7b8e4054
